"id","comitted_production_per_hour","hired_for_this","remarks","employee_id","skills_id","process_id","efficiency","smv"
"9615","50","yes",NULL,"10425","295","743","60","0.7"
"9616","82",NULL,NULL,"6747","86","300","82","0.6"
"9617","67",NULL,NULL,"6747","86","854","73","0.65"
"9618","INSAM JOIN","yes",NULL,"11614",NULL,NULL,"120","0.5"
"9619","LOOP MAKE","yes",NULL,"11614",NULL,NULL,"150","0.4"
"9620","BK RISE","yes",NULL,"11614",NULL,NULL,"150","0.4"
"9621","45","yes",NULL,"15753","295","790","60","0.75"
"9622","70","yes",NULL,"15753","295","741","70","0.6"
"9623","70","yes",NULL,"15753","295","742","70","0.6"
"9624","101",NULL,NULL,"6884","242","295","77","0.45"
"9625","59",NULL,NULL,"6884","243","304","84","0.85"
"9626","INSEAM","yes",NULL,"11796",NULL,NULL,"120","0.5"
"9627","LOOP MAKE","yes",NULL,"11796",NULL,NULL,"150","0.4"
"9628","BK RISE","yes",NULL,"11796",NULL,NULL,"150","0.4"
"9629","100","yes",NULL,"15837","295","752","66","0.4"
"9630","280","yes",NULL,"15837","295","797","70","0.15"
"9631","INSEAM JOIN","yes",NULL,"11613",NULL,NULL,"120","0.5"
"9632","LOOP MAKE","yes",NULL,"11613",NULL,NULL,"150","0.4"
"9633","BK RISE","yes",NULL,"11613",NULL,NULL,"150","0.4"
"9634","INSEAM JOIN","yes",NULL,"11704",NULL,NULL,"120","0.5"
"9635","LOOP MAKE","yes",NULL,"11704",NULL,NULL,"150","0.4"
"9636","BK RISE","yes",NULL,"11704",NULL,NULL,"150","0.4"
"9637","PKT JOIN","yes",NULL,"11797",NULL,NULL,"100","0.6"
"9638","BONE T/S","yes",NULL,"11797",NULL,NULL,"120","0.5"
"9639","COLLER T/S","yes",NULL,"11797",NULL,NULL,"150","0.4"
"9640","BONE JOIN","yes",NULL,"11615",NULL,NULL,"120","0.5"
"9641","CUFF JOIN","yes",NULL,"11615",NULL,NULL,"120","0.5"
"9642","COLLER JOIN","yes",NULL,"11615",NULL,NULL,"150","0.4"
"9643","HTM HEM","yes",NULL,"11616",NULL,NULL,"100","0.6"
"9644","BELT T/S","yes",NULL,"11616",NULL,NULL,"100","0.6"
"9645","CUFF JOIN","yes",NULL,"11616",NULL,NULL,"120","0.5"
"9646","70","yes",NULL,"893","295","751","70","0.6"
"9647","105","yes",NULL,"893","295","752","70","0.5"
"9648","280","yes",NULL,"893","295","797","70","0.15"
"9649","51","yes",NULL,"893","295","796","60","0.7"
"9650","MOUTH","yes",NULL,"11617",NULL,NULL,"100","0.6"
"9651","BONE CUT","yes",NULL,"11617",NULL,NULL,"133","0.45"
"9652","THREAD CUT","yes",NULL,"11617",NULL,NULL,"100","0.6"
"9653","CUFF MATCH","yes",NULL,"11618",NULL,NULL,"133","0.45"
"9654","COLLER MATCH","yes",NULL,"11618",NULL,NULL,"133","0.45"
"9655","BODY TURNOVER","yes",NULL,"11618",NULL,NULL,"133","0.45"
"9656","45","yes","Average","13051","362","866","68","0.5"
"9657","72","yes","Average","13051","389","1125","60","0.5"
"9658","FLAP JOIN","yes",NULL,"11610",NULL,NULL,"120","0.5"
"9659","FLAP T/S","yes",NULL,"11610",NULL,NULL,"120","0.5"
"9660","SIDE T/S","yes",NULL,"11610",NULL,NULL,"150","0.4"
"9661","80","yes",NULL,"15945","295","755","80","0.6"
"9662","55","yes",NULL,"15945","295","756","60","0.65"
"9663","55","yes",NULL,"15945","295","778","60","0.65"
"9664","120","yes",NULL,"15945","295","790","80","0.4"
"9665","PKT JOIN","yes",NULL,"11795",NULL,NULL,"100","0.6"
